as_of,logged_at,filter_commit,list,rank,ticker,company,aggscore
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,5,BPCR.L,BioPharma Credit PLC,-0.2397530399605139
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,6,SWKHL,SWK Holdings Corporation 9.00% Senior Notes due 2027,-0.27585612232411655
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,7,HVPD.L,HarbourVest Global Private Equity Ltd.,-0.31519361463573936
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,8,MPV,Barings Participation Investors,-0.6550659175487201
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,9,BBDC,"Barings BDC, Inc.",-0.7696417794098034
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,10,VTAS.L,Volta Finance Limited,-0.8683932192776789
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,11,VTA.L,Volta Finance Limited,-0.9162074875322325
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,12,III.L,3i Group plc,-1.0328117008420585
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,13,GCP.L,GCP Infrastructure Investments Limited,-1.0668866079073371
2026-07-17,2026-07-17T11:41:08.186515,12a7571-dirty,FIN1,14,AAS.L,abrdn Asia Focus plc,-1.0701955054337087
