source,verdict,dollarVolume_usd,dollarVolume_basis,floor_usd
CEVI.ST,ejected_below_floor,673438.2596079999,2026-08-21|SEK,1000000.0
UB5.DE,ejected_below_floor,5121.054549199999,2026-08-21|EUR,1000000.0
0HTF.L,ejected_below_floor,28818.089346384,2026-08-21|NOK,1000000.0
0YG7.L,ejected_below_floor,27143.89125,2026-08-21|SEK,1000000.0
BERNER-B.ST,ejected_below_floor,333360.68313,2026-08-21|SEK,1000000.0
MRD.TO,ejected_below_floor,75423.14248,2026-08-21|CAD,1000000.0
SEC.TO,ejected_below_floor,47006.100000000006,2026-08-21|CAD,1000000.0
035150.KS,ejected_below_floor,236921.5023598875,2026-08-21|KRW,1000000.0
OMV.DE,ejected_below_floor,568650.3691049999,2026-08-21|EUR,1000000.0
COH.PA,ejected_below_floor,25074.28917,2026-08-21|EUR,1000000.0
ALMDG.PA,ejected_below_floor,64288.638335999996,2026-08-21|EUR,1000000.0
ORIA.PA,ejected_below_floor,6190.923519999999,2026-08-21|EUR,1000000.0
CAT1.DE,ejected_below_floor,885430.730144,2026-08-21|EUR,1000000.0
039570.KS,ejected_below_floor,112717.129257552,2026-08-21|KRW,1000000.0
CSW-A.TO,ejected_below_floor,194686.86091199997,2026-08-21|CAD,1000000.0
CSW-B.TO,ejected_below_floor,57811.595720000005,2026-08-21|CAD,1000000.0
0HW4.L,ejected_below_floor,311092.25,2026-08-21|USD,1000000.0
